model,group,task,metric,alpha_-0.4,alpha_-0.3,alpha_-0.2,alpha_-0.1,alpha_0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,best_alpha,best_value,delta_best_vs_0
llama3b,agieval,agieval_sat_en,"acc_norm,none",,0.21844660194174756,0.3058252427184466,0.4223300970873786,0.49029126213592233,0.4320388349514563,0.41262135922330095,0.20388349514563106,,0.0,0.49029126213592233,0.0
llama3b,agieval,agieval_sat_en_without_passage,"acc_norm,none",,0.25728155339805825,0.32038834951456313,0.3058252427184466,0.2912621359223301,0.2621359223300971,0.2524271844660194,0.1796116504854369,,-0.2,0.32038834951456313,0.029126213592233052
llama3b,agieval,agieval_sat_math,"acc_norm,none",,0.20454545454545456,0.2409090909090909,0.32272727272727275,0.32272727272727275,0.34545454545454546,0.3181818181818182,0.2727272727272727,,0.1,0.34545454545454546,0.022727272727272707
llama8b,agieval,agieval_aqua_rat,"acc_norm,none",,0.24803149606299213,0.20866141732283464,0.2283464566929134,0.2440944881889764,0.20866141732283464,0.2047244094488189,0.2559055118110236,,0.3,0.2559055118110236,0.011811023622047223
llama8b,agieval,agieval_logiqa_en,"acc_norm,none",,0.250384024577573,0.35944700460829493,0.3763440860215054,0.37480798771121354,0.3763440860215054,0.3317972350230415,0.271889400921659,,-0.1,0.3763440860215054,0.0015360983102918335
llama8b,agieval,agieval_lsat_ar,"acc_norm,none",,0.20869565217391303,0.1826086956521739,0.2,0.1956521739130435,0.20434782608695654,0.17391304347826086,0.2391304347826087,,0.3,0.2391304347826087,0.043478260869565216
llama8b,agieval,agieval_lsat_lr,"acc_norm,none",,0.20392156862745098,0.40980392156862744,0.41568627450980394,0.4235294117647059,0.3568627450980392,0.29411764705882354,0.1843137254901961,,0.0,0.4235294117647059,0.0
llama8b,agieval,agieval_lsat_rc,"acc_norm,none",,0.16728624535315986,0.32342007434944237,0.5464684014869888,0.5353159851301115,0.5055762081784386,0.40148698884758366,0.17100371747211895,,-0.1,0.5464684014869888,0.01115241635687736
llama8b,agieval,agieval_sat_en,"acc_norm,none",,0.1941747572815534,0.2766990291262136,0.6601941747572816,0.6844660194174758,0.6941747572815534,0.5485436893203883,0.22815533980582525,,0.1,0.6941747572815534,0.009708737864077666
llama8b,agieval,agieval_sat_en_without_passage,"acc_norm,none",,0.22815533980582525,0.4029126213592233,0.3786407766990291,0.35436893203883496,0.2815533980582524,0.2621359223300971,0.2524271844660194,,-0.2,0.4029126213592233,0.04854368932038833
llama8b,agieval,agieval_sat_math,"acc_norm,none",,0.21818181818181817,0.2818181818181818,0.33636363636363636,0.33181818181818185,0.3409090909090909,0.29545454545454547,0.2318181818181818,,0.1,0.3409090909090909,0.009090909090909038
qwen3_8b,agieval,agieval_aqua_rat,"acc_norm,none",0.2283464566929134,0.3188976377952756,0.3346456692913386,0.3661417322834646,0.3937007874015748,0.421259842519685,0.3464566929133858,0.30708661417322836,0.24015748031496062,0.1,0.421259842519685,0.027559055118110187
qwen3_8b,agieval,agieval_logiqa_en,"acc_norm,none",0.3195084485407066,0.41321044546851,0.5069124423963134,0.5253456221198156,0.5238095238095238,0.5084485407066052,0.4393241167434716,0.3102918586789555,0.2672811059907834,-0.1,0.5253456221198156,0.001536098310291778
qwen3_8b,agieval,agieval_lsat_ar,"acc_norm,none",0.22608695652173913,0.25217391304347825,0.28695652173913044,0.26521739130434785,0.26956521739130435,0.27391304347826084,0.20869565217391303,0.22608695652173913,0.19130434782608696,-0.2,0.28695652173913044,0.017391304347826098
qwen3_8b,agieval,agieval_lsat_lr,"acc_norm,none",0.31176470588235294,0.5549019607843138,0.7215686274509804,0.7450980392156863,0.7274509803921568,0.6843137254901961,0.5549019607843138,0.30392156862745096,0.23529411764705882,-0.1,0.7450980392156863,0.01764705882352946
qwen3_8b,agieval,agieval_lsat_rc,"acc_norm,none",0.241635687732342,0.483271375464684,0.6691449814126395,0.7063197026022305,0.7100371747211895,0.7323420074349443,0.620817843866171,0.34944237918215615,0.27137546468401486,0.1,0.7323420074349443,0.02230483271375472
qwen3_8b,agieval,agieval_sat_en,"acc_norm,none",0.32038834951456313,0.6456310679611651,0.8446601941747572,0.8495145631067961,0.8640776699029126,0.8446601941747572,0.7912621359223301,0.4368932038834951,0.2669902912621359,0.0,0.8640776699029126,0.0
qwen3_8b,agieval,agieval_sat_en_without_passage,"acc_norm,none",0.32038834951456313,0.3737864077669903,0.4854368932038835,0.558252427184466,0.5631067961165048,0.529126213592233,0.4854368932038835,0.3932038834951456,0.35436893203883496,0.0,0.5631067961165048,0.0
qwen3_8b,agieval,agieval_sat_math,"acc_norm,none",0.3181818181818182,0.5181818181818182,0.5409090909090909,0.55,0.5454545454545454,0.5227272727272727,0.5363636363636364,0.45,0.3,-0.1,0.55,0.00454545454545463
