model,alpha,trait,total,trait_score,high1_prob,high2_prob,low1_prob,low2_prob
llama1b,0.1,Extraversion,1000,0.393877850746343,0.26629893264891064,0.12757891809743163,0.4407485053142508,0.16537364393940665
llama1b,0.1,Agreeableness,1000,0.653960540841633,0.4860426407166942,0.16791790012493937,0.23925340992628066,0.10678604923208596
llama1b,0.1,Neuroticism,1000,0.344677652634178,0.20282185851768444,0.14185579411649318,0.43171765759278313,0.2236046897730389
llama1b,0.1,Machiavellianism,1000,0.24477016941154356,0.18130087044212567,0.06346929896941808,0.5299699965448685,0.22525983404358763
llama1b,0.1,Narcissism,1000,0.2012891999017479,0.1577480904910904,0.04354110941065741,0.5659218947456357,0.2327889053526166
llama1b,0.1,Psychopathy,1000,0.13231412757799185,0.09988161550467284,0.032432512073319,0.5942121413156108,0.27347373110639706
llama1b,0.2,Openness,1000,0.4324810149215147,0.3024009201169018,0.13008009480461277,0.40359379691430913,0.1639251881641766
llama1b,0.2,Conscientiousness,1000,0.7079858424333272,0.5113142200345739,0.19667162239875363,0.23381343998712156,0.05820071757955093
llama1b,0.2,Extraversion,1000,0.4085771118222742,0.2742265190087593,0.134350592813515,0.4391175953193627,0.15230529285836278
llama1b,0.2,Agreeableness,1000,0.640468544361922,0.47734819742177226,0.16312034694014935,0.24514120455559194,0.114390251082486
llama1b,0.2,Neuroticism,1000,0.35914553276973576,0.21406076904404447,0.14508476372569082,0.42022919910155737,0.22062526812870645
llama1b,0.2,Machiavellianism,1000,0.25892407123736955,0.19384551706826825,0.06507855416910192,0.5176400139676843,0.223435914794946
llama1b,0.2,Narcissism,1000,0.20958023630538977,0.16193237146164774,0.047647864843742206,0.5608514590102754,0.22956830468433395
llama1b,0.2,Psychopathy,1000,0.133740630108026,0.102887651600243,0.030852978507782916,0.5862210390876924,0.28003833080428125
llama1b,0.3,Openness,1000,0.4474278595509474,0.31429497348200214,0.1331328860689447,0.39605115173236477,0.15652098871668768
llama1b,0.3,Conscientiousness,1000,0.6923782665347795,0.49950672210960234,0.19287154442517804,0.24423106067062508,0.06339067279459469
llama1b,0.3,Extraversion,1000,0.43686241732393694,0.3025328333317214,0.1343295839922158,0.41211951286139076,0.1510180698146721
llama1b,0.3,Agreeableness,1000,0.6285314912547224,0.46679496235302104,0.1617365289017015,0.2524658019437572,0.11900270680151992
llama1b,0.3,Neuroticism,1000,0.38265352005911746,0.23173106294093157,0.15092245711818544,0.3997490179692078,0.21759746197167498
llama1b,0.3,Machiavellianism,1000,0.3000983730606381,0.2195572900528779,0.08054108300776056,0.4848838583892599,0.21501776855010085
llama1b,0.3,Narcissism,1000,0.23569830633356284,0.18242593456023182,0.05327237177333066,0.5368665447419974,0.22743514892443997
llama1b,0.3,Psychopathy,1000,0.14973089308754137,0.1115979130044153,0.038132980083126114,0.5756683217733133,0.2746007851391453
llama3b,-0.3,Openness,1000,0.39834438608665496,0.2775470316874843,0.12079735439917041,0.4169565148852809,0.18469909902806417
llama3b,-0.3,Conscientiousness,1000,0.6640041701675341,0.45543912304774764,0.2085650471197854,0.251957778344335,0.08403805148813123
llama3b,-0.3,Extraversion,1000,0.38765823588151826,0.2600024555431379,0.12765578033838035,0.41421148743293845,0.19813027668554298
llama3b,-0.3,Agreeableness,1000,0.6241878545471355,0.43700404854744496,0.18718380599968995,0.25825104946076083,0.11756109599210432
llama3b,-0.3,Neuroticism,1000,0.3720474471796452,0.21999213514123356,0.152055312038412,0.40772433104993555,0.22022822177041934
llama3b,-0.3,Machiavellianism,1000,0.2979221142034879,0.20771733220486108,0.090204781998627,0.47224467746131377,0.2298332083351987
llama3b,-0.3,Narcissism,1000,0.25584161699318403,0.17997984992476834,0.07586176706841552,0.498150888328581,0.24600749467823488
llama3b,-0.3,Psychopathy,1000,0.1816190200013262,0.12440402465952859,0.05721499534179754,0.545210033297482,0.2731709467011912
llama3b,-0.2,Openness,1000,0.3967046149340374,0.27098396111027073,0.12572065382376701,0.4170923001220403,0.1862030849439222
llama3b,-0.2,Conscientiousness,1000,0.6709256330520988,0.48383101532977785,0.18709461772231978,0.2486895749656454,0.08038479198225668
llama3b,-0.2,Extraversion,1000,0.38116247115622315,0.2664214596028581,0.11474101155336457,0.4202067092656938,0.19863081957808346
llama3b,-0.2,Agreeableness,1000,0.6359881863206959,0.4685921405132176,0.16739604580747897,0.25236693962803786,0.11164487405126572
llama3b,-0.2,Neuroticism,1000,0.32071931140924104,0.1908493504441229,0.1298699609651174,0.44948674224306284,0.22979394634769595
llama3b,-0.2,Machiavellianism,1000,0.23901504446855582,0.17142549398276485,0.06758955048579098,0.5396430719356067,0.22134188359583779
llama3b,-0.2,Narcissism,1000,0.21770321673684329,0.157184350559189,0.060518866177654625,0.5512591783610208,0.23103760490213543
llama3b,-0.2,Psychopathy,1000,0.1611913001495026,0.11206085608242831,0.0491304440670744,0.5615122422852652,0.2772964575652318
llama3b,-0.1,Openness,1000,0.40917298946584213,0.281658669387277,0.12751432007856556,0.41090831280839596,0.17991869772576144
llama3b,-0.1,Conscientiousness,1000,0.685086172822484,0.49673263928022354,0.18835353354226084,0.2336633915595868,0.08125043561792876
llama3b,-0.1,Extraversion,1000,0.3914948827843873,0.27678889217574365,0.11470599060864306,0.4091477755899447,0.19935734162566754
llama3b,-0.1,Agreeableness,1000,0.6429229080948012,0.47030394435636125,0.17261896373843924,0.2483977858927479,0.10867930601245186
llama3b,-0.1,Neuroticism,1000,0.31368883807657894,0.18563681097069915,0.12805202710587918,0.4437069083317022,0.24260425359171903
llama3b,-0.1,Machiavellianism,1000,0.23370723552466,0.17024737722010508,0.06345985830455476,0.5468666068271039,0.21942615764823628
llama3b,-0.1,Narcissism,1000,0.2128886069731904,0.15495217312760634,0.057936433845584306,0.5689881622488236,0.21812323077798507
llama3b,-0.1,Psychopathy,1000,0.16427666915039424,0.11364279254952364,0.05063387660087035,0.5720184021162706,0.26370492873333456
llama3b,0.0,Openness,1000,0.42093356973429613,0.297122355922242,0.12381121381205466,0.4025541306368689,0.17651229962883416
llama3b,0.0,Conscientiousness,1000,0.6879843632036096,0.4990504863247467,0.18893387687886262,0.2339902500899058,0.07802538670648447
llama3b,0.0,Extraversion,1000,0.3977152875977924,0.28280389118201166,0.11491139641578042,0.4095940556696105,0.19269065673259667
llama3b,0.0,Agreeableness,1000,0.6461375834658087,0.46919395038384026,0.1769436330819689,0.24538462194292715,0.10847779459126337
llama3b,0.0,Neuroticism,1000,0.308113044064263,0.1804441636801866,0.1276688803840767,0.45715564059521663,0.23473131534052066
llama3b,0.0,Machiavellianism,1000,0.2422780413941192,0.17419100308392366,0.06808703831019564,0.5403379973882716,0.217383961217609
llama3b,0.0,Narcissism,1000,0.21231738778127504,0.15137227079881652,0.060945116982458455,0.5752291936479327,0.21245341857079184
llama3b,0.0,Psychopathy,1000,0.15802912017455226,0.1087485102835427,0.04928060989100973,0.5875441382224804,0.25442674160296663
llama3b,0.1,Openness,1000,0.4375101844670125,0.31245638090029987,0.1250538035667124,0.3941020805247777,0.16838773500821033
llama3b,0.1,Conscientiousness,1000,0.6846007640538723,0.492271197900483,0.19232956615338906,0.23883290802839752,0.07656632791773027
llama3b,0.1,Extraversion,1000,0.4037360975241566,0.28330037522864954,0.12043572229550738,0.41546162946769477,0.18080227300814863
llama3b,0.1,Agreeableness,1000,0.638341556790696,0.46916415649174975,0.16917740029894623,0.25240564019805717,0.10925280301124655
llama3b,0.1,Neuroticism,1000,0.30592892212601197,0.1751483399894099,0.13078058213660226,0.4614887731665735,0.23258230470741384
llama3b,0.1,Machiavellianism,1000,0.2698803212480958,0.19773681502699061,0.07214350622110535,0.5094237335423049,0.22069594520959976
llama3b,0.1,Narcissism,1000,0.21678828187713983,0.15596011635381948,0.060828165523320016,0.5845994109221387,0.19861230720072262
llama3b,0.1,Psychopathy,1000,0.1663139305480676,0.11113509071242375,0.05517883983564389,0.5880630945052631,0.2456229749466686
llama3b,0.2,Openness,1000,0.45286785772244614,0.3264821244343859,0.12638573328806008,0.3901453052831213,0.15698683699443264
llama3b,0.2,Conscientiousness,1000,0.6720143101459004,0.4890099707091564,0.1830043394367431,0.2518819155689812,0.07610377428511857
llama3b,0.2,Extraversion,1000,0.4271630001201657,0.2978162245320898,0.1293467755880759,0.409461108484614,0.1633758913952201
llama3b,0.2,Agreeableness,1000,0.6214282364184347,0.45805169004212026,0.16337654637631477,0.26291442877046817,0.11565733481109713
llama3b,0.2,Neuroticism,1000,0.31501323803151793,0.1852429865430813,0.12977025148843638,0.4573094962910512,0.2276772656774311
llama3b,0.2,Machiavellianism,1000,0.29894355155287017,0.22156831061607507,0.0773752409367943,0.5041528027800827,0.19690364566704785
llama3b,0.2,Narcissism,1000,0.2364547085911344,0.1741216945017628,0.06233301408937166,0.5697254873151789,0.19381980409368588
llama3b,0.2,Psychopathy,1000,0.1911576088258867,0.13024515447775745,0.06091245434812953,0.5652610288355473,0.24358136233856514
llama3b,0.3,Openness,1000,0.45501112683076655,0.32241392300823485,0.13259720382253254,0.3955571254000739,0.14943174776915816
llama3b,0.3,Conscientiousness,1000,0.6229428283497369,0.4578953919052847,0.16504743644445302,0.29430749216470337,0.082749679485559
llama3b,0.3,Extraversion,1000,0.47339397121910265,0.3227330984124228,0.15066087280668003,0.3880018871573651,0.13860414162353307
llama3b,0.3,Agreeableness,1000,0.5592871013473292,0.4005899794449159,0.15869712190241286,0.3130272106858865,0.12768568796678448
llama3b,0.3,Neuroticism,1000,0.33568231953383393,0.21396644318229818,0.12171587635153601,0.4447235169001064,0.21959416356605885
llama3b,0.3,Machiavellianism,1000,0.33633494333932357,0.25259063521631536,0.08374430812300779,0.4652207090970794,0.19844434756359666
llama3b,0.3,Narcissism,1000,0.31497000567569194,0.24956000196048655,0.06541000371520576,0.49828986641814343,0.18674012790616448
llama3b,0.3,Psychopathy,1000,0.31591887701326077,0.21554826966242027,0.10037060735084051,0.45700889449687404,0.22707222848986477
qwen3_8b,-0.3,Openness,1000,0.4435237826436363,0.30806467561285994,0.13545910703077613,0.40284574632336834,0.1536304710329957
qwen3_8b,-0.3,Conscientiousness,1000,0.6461472655513593,0.4464502856257013,0.19969697992565677,0.257459091981145,0.09639364246749692
qwen3_8b,-0.3,Extraversion,1000,0.4369672883362859,0.287167895400913,0.149799392935373,0.37808184589117805,0.1849508657725362
qwen3_8b,-0.3,Agreeableness,1000,0.6097393619101426,0.4385075318285528,0.17123183008159046,0.2732165105606754,0.11704412752918132
qwen3_8b,-0.3,Neuroticism,1000,0.37670587112843407,0.24088085386591046,0.135825017262523,0.41730449582765056,0.20598963304391615
qwen3_8b,-0.3,Machiavellianism,1000,0.3227307537374534,0.2153524134363372,0.10737834030111575,0.4576666220974842,0.21960262416506304
qwen3_8b,-0.3,Narcissism,1000,0.3070983078276124,0.21204734390021468,0.0950509639273976,0.46570291047863327,0.22719878169375407
qwen3_8b,-0.3,Psychopathy,1000,0.24931164135509976,0.153292104451265,0.09601953690383488,0.4964085333383282,0.25427982530657206
qwen3_8b,-0.2,Openness,1000,0.45206246910825804,0.3124198553041843,0.13964261380407353,0.3889466861902949,0.15899084470144614
qwen3_8b,-0.2,Conscientiousness,1000,0.675418714964229,0.4810255297814722,0.19439318518275728,0.22856918607490365,0.09601209896086742
qwen3_8b,-0.2,Extraversion,1000,0.423068020624432,0.28088395359200624,0.14218406703242492,0.39627769592676754,0.18065428344880083
qwen3_8b,-0.2,Agreeableness,1000,0.6442972943805023,0.46406219144626787,0.18023510293423378,0.24973089285013808,0.10597181276935996
qwen3_8b,-0.2,Neuroticism,1000,0.37407820531864566,0.23064544762183614,0.14343275769680935,0.41539579607648036,0.2105259986048745
qwen3_8b,-0.2,Machiavellianism,1000,0.294597637287251,0.1953429842977657,0.09925465298948483,0.47152354646849426,0.2338788162442547
qwen3_8b,-0.2,Narcissism,1000,0.2758866074351172,0.19242683716108508,0.0834597702740314,0.5019210922605236,0.2221923003043592
qwen3_8b,-0.2,Psychopathy,1000,0.20428458068638772,0.12918502191640008,0.07509955876998768,0.5459550849187341,0.24976033439487824
qwen3_8b,-0.1,Openness,1000,0.45864598610340046,0.32267247189022147,0.13597351421317927,0.3840168390148698,0.15733717488172858
qwen3_8b,-0.1,Conscientiousness,1000,0.6894927140867455,0.4956601879002893,0.19383252618645527,0.22111277835892884,0.08939450755432592
qwen3_8b,-0.1,Extraversion,1000,0.40201608059372573,0.2755878122272363,0.12642826836649007,0.4074782617495039,0.19050565765676974
qwen3_8b,-0.1,Agreeableness,1000,0.6601694045340089,0.47861561635640226,0.18155378817760745,0.23875379520618628,0.10107680025980412
qwen3_8b,-0.1,Neuroticism,1000,0.37872972196900373,0.23080330001951838,0.1479264219494854,0.40950998942829253,0.21176028860270318
qwen3_8b,-0.1,Machiavellianism,1000,0.2679621081782572,0.1766984047457581,0.09126370343249868,0.49147897443869876,0.24055891738304425
qwen3_8b,-0.1,Narcissism,1000,0.24629752746965763,0.17498799115893615,0.07130953631072169,0.5265216333007895,0.22718083922955248
qwen3_8b,-0.1,Psychopathy,1000,0.20002453896165553,0.13397294963023873,0.06605158933141649,0.5441812263916861,0.2557942346466586
qwen3_8b,0.0,Openness,1000,0.4589715408791446,0.32605141488491574,0.13292012599422898,0.3850627329549011,0.15596572616595442
qwen3_8b,0.0,Conscientiousness,1000,0.7061690432217772,0.5099602748648056,0.19620876835697149,0.20490837159704417,0.08892258518117817
qwen3_8b,0.0,Extraversion,1000,0.3974849067943654,0.27369300115041456,0.12379190564395025,0.41067295628632233,0.19184213691931223
qwen3_8b,0.0,Agreeableness,1000,0.6629678297226308,0.47195395028696785,0.19101387943566242,0.23595806611632608,0.10107410416104386
qwen3_8b,0.0,Neuroticism,1000,0.3777066077284061,0.22902574215505128,0.14868086557335433,0.40182644659586253,0.22046694567573144
qwen3_8b,0.0,Machiavellianism,1000,0.25297402722500933,0.16966150766881927,0.08331251955619007,0.49817181098551533,0.2488541617894755
qwen3_8b,0.0,Narcissism,1000,0.23527098502769345,0.1679472168437119,0.06732376818398171,0.5328335675843372,0.23189544738797008
qwen3_8b,0.0,Psychopathy,1000,0.18158679092727312,0.12355577152517709,0.05803101940209601,0.5616160161710331,0.25679719290169306
qwen3_8b,0.1,Openness,1000,0.46206417932369215,0.3332677926567297,0.12879638666696186,0.38278111874747783,0.15515470192883024
qwen3_8b,0.1,Conscientiousness,1000,0.7073344551675997,0.5138200200641903,0.19351443510341,0.20570030473064582,0.08696524010175305
qwen3_8b,0.1,Extraversion,1000,0.40478747525624414,0.2796924459888551,0.12509502926738922,0.4055766687712668,0.1896358559724886
qwen3_8b,0.1,Agreeableness,1000,0.6635858877096339,0.4689014015364814,0.19468448617315237,0.2299977414149994,0.10641637087536636
qwen3_8b,0.1,Neuroticism,1000,0.365028353769525,0.21971481321919384,0.14531354055033066,0.40169602667715704,0.2332756195533181
qwen3_8b,0.1,Machiavellianism,1000,0.25325692794883997,0.17499972995982316,0.07825719798901656,0.5027654371065318,0.24397763494462815
qwen3_8b,0.1,Narcissism,1000,0.2259749567818021,0.16465731916439627,0.06131763761740584,0.5499575069856878,0.22406753623250877
qwen3_8b,0.1,Psychopathy,1000,0.1883154553392802,0.12928976956502358,0.05902568577425645,0.568018147927231,0.24366639673348958
qwen3_8b,0.2,Openness,1000,0.4554632316697734,0.32095761805845485,0.13450561361131821,0.3978478643763886,0.1466889039538373
qwen3_8b,0.2,Conscientiousness,1000,0.7195052090589766,0.5218837138900589,0.1976214951689173,0.2001367957435795,0.08035799519744419
qwen3_8b,0.2,Extraversion,1000,0.4015071390506719,0.283159000703407,0.11834813834726515,0.42146378472949825,0.17702907621982977
qwen3_8b,0.2,Agreeableness,1000,0.647904169640847,0.4542256918803884,0.19367847776045793,0.23958024130969138,0.1125155890494618
qwen3_8b,0.2,Neuroticism,1000,0.35877044808642605,0.2113294154835433,0.14744103260288266,0.4063253182873187,0.2349042336262548
qwen3_8b,0.2,Machiavellianism,1000,0.2607275562995859,0.17980439597527795,0.08092316032430777,0.504368498059447,0.23490394564096764
qwen3_8b,0.2,Narcissism,1000,0.21209634872169864,0.1515332076551845,0.060563141066513976,0.554753673052206,0.23314997822609537
qwen3_8b,0.2,Psychopathy,1000,0.17649558186474684,0.11070688080120959,0.06578870106353743,0.5756540866570826,0.24785033147817012
qwen3_8b,0.3,Openness,1000,0.47628427673760826,0.32883003145263734,0.14745424528497025,0.3597445162106348,0.1639712070517579
qwen3_8b,0.3,Conscientiousness,1000,0.7002750796266709,0.48412107657767073,0.2161540030489993,0.22162844427018247,0.07809647610314774
qwen3_8b,0.3,Extraversion,1000,0.421493131856307,0.2941335605158905,0.12735957134041562,0.39462685859937763,0.18388000954431546
qwen3_8b,0.3,Agreeableness,1000,0.6040169382012748,0.4197933936772521,0.1842235445240226,0.265724144563158,0.13025891723556743
qwen3_8b,0.3,Neuroticism,1000,0.3846861430523607,0.22686072038296878,0.15782542266939167,0.3949197328807594,0.22039412406688016
qwen3_8b,0.3,Machiavellianism,1000,0.28822231984057134,0.21123932478687843,0.07698299505369267,0.49442286468290214,0.2173548154765269
qwen3_8b,0.3,Narcissism,1000,0.22771880376483772,0.16352063908765538,0.06419816467718249,0.5557193404696515,0.2165618557655109
qwen3_8b,0.3,Psychopathy,1000,0.19107759667537397,0.12827475828760165,0.06280283838777255,0.5595656472388134,0.2493567560858118
