trait_model,capability_model,alpha,trait,trait_score,delta_trait,Factual Knowledge,Language Understanding,Deductive Reasoning
llama32_1b_instruct,llama1b,-0.1,Narcissism,0.217879,0.011407,0.0223544374944523,-0.011724604014366731,0.0015289645102246764
llama32_1b_instruct,llama1b,-0.1,Psychopathy,0.153303,0.011720000000000008,0.0223544374944523,-0.011724604014366731,0.0015289645102246764
llama32_1b_instruct,llama1b,-0.05,Openness,0.400111,-0.0030830000000000024,0.010998636552649774,-0.0011241158110426401,0.004299506896905925
llama32_1b_instruct,llama1b,-0.05,Conscientiousness,0.718112,-0.00044399999999999995,0.010998636552649774,-0.0011241158110426401,0.004299506896905925
llama32_1b_instruct,llama1b,-0.05,Extraversion,0.387807,0.0008839999999999959,0.010998636552649774,-0.0011241158110426401,0.004299506896905925
llama32_1b_instruct,llama1b,-0.05,Agreeableness,0.658288,-0.0007580000000000364,0.010998636552649774,-0.0011241158110426401,0.004299506896905925
llama32_1b_instruct,llama1b,-0.05,Neuroticism,0.341871,0.0010709999999999886,0.010998636552649774,-0.0011241158110426401,0.004299506896905925
llama32_1b_instruct,llama1b,-0.05,Machiavellianism,0.241314,-0.0007860000000000089,0.010998636552649774,-0.0011241158110426401,0.004299506896905925
llama32_1b_instruct,llama1b,-0.05,Narcissism,0.212392,0.005920000000000009,0.010998636552649774,-0.0011241158110426401,0.004299506896905925
llama32_1b_instruct,llama1b,-0.05,Psychopathy,0.146803,0.005220000000000002,0.010998636552649774,-0.0011241158110426401,0.004299506896905925
llama32_1b_instruct,llama1b,0.0,Openness,0.403194,0.0,0.0,0.0,0.0
llama32_1b_instruct,llama1b,0.0,Conscientiousness,0.718556,0.0,0.0,0.0,0.0
llama32_1b_instruct,llama1b,0.0,Extraversion,0.386923,0.0,0.0,0.0,0.0
llama32_1b_instruct,llama1b,0.0,Agreeableness,0.659046,0.0,0.0,0.0,0.0
llama32_1b_instruct,llama1b,0.0,Neuroticism,0.3408,0.0,0.0,0.0,0.0
llama32_1b_instruct,llama1b,0.0,Machiavellianism,0.2421,0.0,0.0,0.0,0.0
llama32_1b_instruct,llama1b,0.0,Narcissism,0.206472,0.0,0.0,0.0,0.0
llama32_1b_instruct,llama1b,0.0,Psychopathy,0.141583,0.0,0.0,0.0,0.0
llama32_1b_instruct,llama1b,0.05,Openness,0.406338,0.00314399999999998,-0.010870236803832038,-0.004934053070061083,0.007736301289498842
llama32_1b_instruct,llama1b,0.05,Conscientiousness,0.715953,-0.002603000000000022,-0.010870236803832038,-0.004934053070061083,0.007736301289498842
llama32_1b_instruct,llama1b,0.05,Extraversion,0.388531,0.0016079999999999983,-0.010870236803832038,-0.004934053070061083,0.007736301289498842
llama32_1b_instruct,llama1b,0.05,Agreeableness,0.657934,-0.0011120000000000019,-0.010870236803832038,-0.004934053070061083,0.007736301289498842
llama32_1b_instruct,llama1b,0.05,Neuroticism,0.341302,0.0005020000000000024,-0.010870236803832038,-0.004934053070061083,0.007736301289498842
llama32_1b_instruct,llama1b,0.05,Machiavellianism,0.242848,0.0007479999999999987,-0.010870236803832038,-0.004934053070061083,0.007736301289498842
llama32_1b_instruct,llama1b,0.05,Narcissism,0.202354,-0.004117999999999983,-0.010870236803832038,-0.004934053070061083,0.007736301289498842
llama32_1b_instruct,llama1b,0.05,Psychopathy,0.136598,-0.0049849999999999894,-0.010870236803832038,-0.004934053070061083,0.007736301289498842
llama32_1b_instruct,llama1b,0.1,Openness,0.412381,0.009187,-0.043413545687698424,-0.016338319299967624,-0.00010274142413017522
llama32_1b_instruct,llama1b,0.1,Conscientiousness,0.713851,-0.004704999999999959,-0.043413545687698424,-0.016338319299967624,-0.00010274142413017522
llama32_1b_instruct,llama1b,0.1,Extraversion,0.393878,0.006954999999999989,-0.043413545687698424,-0.016338319299967624,-0.00010274142413017522
llama32_1b_instruct,llama1b,0.1,Agreeableness,0.653961,-0.005085000000000006,-0.043413545687698424,-0.016338319299967624,-0.00010274142413017522
llama32_1b_instruct,llama1b,0.1,Neuroticism,0.344678,0.0038779999999999926,-0.043413545687698424,-0.016338319299967624,-0.00010274142413017522
llama32_1b_instruct,llama1b,0.1,Machiavellianism,0.24477,0.002669999999999978,-0.043413545687698424,-0.016338319299967624,-0.00010274142413017522
llama32_1b_instruct,llama1b,0.1,Narcissism,0.201289,-0.005182999999999993,-0.043413545687698424,-0.016338319299967624,-0.00010274142413017522
llama32_1b_instruct,llama1b,0.1,Psychopathy,0.132314,-0.009269,-0.043413545687698424,-0.016338319299967624,-0.00010274142413017522
llama32_1b_instruct,llama1b,0.15,Openness,0.423058,0.019863999999999993,-0.05318958616796101,-0.01877502778238135,-0.005366164999124694
llama32_1b_instruct,llama1b,0.15,Conscientiousness,0.71131,-0.007245999999999975,-0.05318958616796101,-0.01877502778238135,-0.005366164999124694
llama32_1b_instruct,llama1b,0.15,Extraversion,0.396939,0.01001599999999997,-0.05318958616796101,-0.01877502778238135,-0.005366164999124694
llama32_1b_instruct,llama1b,0.15,Agreeableness,0.645336,-0.01371,-0.05318958616796101,-0.01877502778238135,-0.005366164999124694
llama32_1b_instruct,llama1b,0.15,Neuroticism,0.352162,0.011361999999999983,-0.05318958616796101,-0.01877502778238135,-0.005366164999124694
llama32_1b_instruct,llama1b,0.15,Machiavellianism,0.24898,0.006879999999999997,-0.05318958616796101,-0.01877502778238135,-0.005366164999124694
llama32_1b_instruct,llama1b,0.15,Narcissism,0.204161,-0.0023109999999999797,-0.05318958616796101,-0.01877502778238135,-0.005366164999124694
llama32_1b_instruct,llama1b,0.15,Psychopathy,0.130893,-0.010689999999999977,-0.05318958616796101,-0.01877502778238135,-0.005366164999124694
llama32_1b_instruct,llama1b,0.2,Openness,0.432481,0.029287000000000007,-0.08255431716250326,-0.015696550366592437,-0.021485158880585283
llama32_1b_instruct,llama1b,0.2,Conscientiousness,0.707986,-0.010569999999999968,-0.08255431716250326,-0.015696550366592437,-0.021485158880585283
llama32_1b_instruct,llama1b,0.2,Extraversion,0.408577,0.021654000000000007,-0.08255431716250326,-0.015696550366592437,-0.021485158880585283
llama32_1b_instruct,llama1b,0.2,Agreeableness,0.640469,-0.018577000000000066,-0.08255431716250326,-0.015696550366592437,-0.021485158880585283
llama32_1b_instruct,llama1b,0.2,Neuroticism,0.359146,0.01834600000000003,-0.08255431716250326,-0.015696550366592437,-0.021485158880585283
llama32_1b_instruct,llama1b,0.2,Machiavellianism,0.258924,0.016823999999999978,-0.08255431716250326,-0.015696550366592437,-0.021485158880585283
llama32_1b_instruct,llama1b,0.2,Narcissism,0.20958,0.0031079999999999997,-0.08255431716250326,-0.015696550366592437,-0.021485158880585283
llama32_1b_instruct,llama1b,0.2,Psychopathy,0.133741,-0.007841999999999988,-0.08255431716250326,-0.015696550366592437,-0.021485158880585283
llama32_3b_instruct,llama3b,-0.2,Openness,0.396705,-0.024229,-0.0828780568576462,-0.11504809779649479,-0.049895169186220764
llama32_3b_instruct,llama3b,-0.2,Conscientiousness,0.670926,-0.017058000000000018,-0.0828780568576462,-0.11504809779649479,-0.049895169186220764
llama32_3b_instruct,llama3b,-0.2,Extraversion,0.381162,-0.016552999999999984,-0.0828780568576462,-0.11504809779649479,-0.049895169186220764
llama32_3b_instruct,llama3b,-0.2,Agreeableness,0.635988,-0.010149999999999992,-0.0828780568576462,-0.11504809779649479,-0.049895169186220764
llama32_3b_instruct,llama3b,-0.2,Neuroticism,0.320719,0.01260599999999995,-0.0828780568576462,-0.11504809779649479,-0.049895169186220764
llama32_3b_instruct,llama3b,-0.2,Machiavellianism,0.239015,-0.003262999999999988,-0.0828780568576462,-0.11504809779649479,-0.049895169186220764
llama32_3b_instruct,llama3b,-0.2,Narcissism,0.217703,0.005386000000000002,-0.0828780568576462,-0.11504809779649479,-0.049895169186220764
llama32_3b_instruct,llama3b,-0.2,Psychopathy,0.161191,0.003161999999999998,-0.0828780568576462,-0.11504809779649479,-0.049895169186220764
llama32_3b_instruct,llama3b,-0.15,Openness,0.404284,-0.016649999999999998,-0.0436822213481861,-0.0512595839426539,-0.022624512127614627
llama32_3b_instruct,llama3b,-0.15,Conscientiousness,0.680686,-0.007298000000000027,-0.0436822213481861,-0.0512595839426539,-0.022624512127614627
llama32_3b_instruct,llama3b,-0.15,Extraversion,0.38508,-0.012635000000000007,-0.0436822213481861,-0.0512595839426539,-0.022624512127614627
llama32_3b_instruct,llama3b,-0.15,Agreeableness,0.639213,-0.006924999999999959,-0.0436822213481861,-0.0512595839426539,-0.022624512127614627
llama32_3b_instruct,llama3b,-0.15,Neuroticism,0.322268,0.014154999999999973,-0.0436822213481861,-0.0512595839426539,-0.022624512127614627
llama32_3b_instruct,llama3b,-0.15,Machiavellianism,0.230886,-0.011391999999999985,-0.0436822213481861,-0.0512595839426539,-0.022624512127614627
llama32_3b_instruct,llama3b,-0.15,Narcissism,0.214959,0.0026420000000000055,-0.0436822213481861,-0.0512595839426539,-0.022624512127614627
llama32_3b_instruct,llama3b,-0.15,Psychopathy,0.16262,0.004590999999999984,-0.0436822213481861,-0.0512595839426539,-0.022624512127614627
llama32_3b_instruct,llama3b,-0.1,Openness,0.409173,-0.011760999999999966,-0.019222251533556632,-0.0319536697949654,-0.010998476731820072
llama32_3b_instruct,llama3b,-0.1,Conscientiousness,0.685086,-0.002898000000000067,-0.019222251533556632,-0.0319536697949654,-0.010998476731820072
llama32_3b_instruct,llama3b,-0.1,Extraversion,0.391495,-0.006220000000000003,-0.019222251533556632,-0.0319536697949654,-0.010998476731820072
llama32_3b_instruct,llama3b,-0.1,Agreeableness,0.642923,-0.003214999999999968,-0.019222251533556632,-0.0319536697949654,-0.010998476731820072
llama32_3b_instruct,llama3b,-0.1,Neuroticism,0.313689,0.00557599999999997,-0.019222251533556632,-0.0319536697949654,-0.010998476731820072
llama32_3b_instruct,llama3b,-0.1,Machiavellianism,0.233707,-0.008570999999999995,-0.019222251533556632,-0.0319536697949654,-0.010998476731820072
llama32_3b_instruct,llama3b,-0.1,Narcissism,0.212889,0.0005719999999999892,-0.019222251533556632,-0.0319536697949654,-0.010998476731820072
llama32_3b_instruct,llama3b,-0.1,Psychopathy,0.164277,0.0062480000000000036,-0.019222251533556632,-0.0319536697949654,-0.010998476731820072
llama32_3b_instruct,llama3b,-0.05,Openness,0.41627,-0.0046640000000000015,-0.0063879756591012846,-0.02235614705244525,-0.004380918886056271
llama32_3b_instruct,llama3b,-0.05,Conscientiousness,0.685854,-0.0021300000000000763,-0.0063879756591012846,-0.02235614705244525,-0.004380918886056271
llama32_3b_instruct,llama3b,-0.05,Extraversion,0.395792,-0.001923000000000008,-0.0063879756591012846,-0.02235614705244525,-0.004380918886056271
llama32_3b_instruct,llama3b,-0.05,Agreeableness,0.644861,-0.0012769999999999726,-0.0063879756591012846,-0.02235614705244525,-0.004380918886056271
llama32_3b_instruct,llama3b,-0.05,Neuroticism,0.309057,0.0009440000000000004,-0.0063879756591012846,-0.02235614705244525,-0.004380918886056271
llama32_3b_instruct,llama3b,-0.05,Machiavellianism,0.235608,-0.0066699999999999815,-0.0063879756591012846,-0.02235614705244525,-0.004380918886056271
llama32_3b_instruct,llama3b,-0.05,Narcissism,0.211462,-0.0008549999999999947,-0.0063879756591012846,-0.02235614705244525,-0.004380918886056271
llama32_3b_instruct,llama3b,-0.05,Psychopathy,0.162374,0.004344999999999988,-0.0063879756591012846,-0.02235614705244525,-0.004380918886056271
llama32_3b_instruct,llama3b,0.0,Openness,0.420934,0.0,0.0,0.0,0.0
llama32_3b_instruct,llama3b,0.0,Conscientiousness,0.687984,0.0,0.0,0.0,0.0
llama32_3b_instruct,llama3b,0.0,Extraversion,0.397715,0.0,0.0,0.0,0.0
llama32_3b_instruct,llama3b,0.0,Agreeableness,0.646138,0.0,0.0,0.0,0.0
llama32_3b_instruct,llama3b,0.0,Neuroticism,0.308113,0.0,0.0,0.0,0.0
llama32_3b_instruct,llama3b,0.0,Machiavellianism,0.242278,0.0,0.0,0.0,0.0
llama32_3b_instruct,llama3b,0.0,Narcissism,0.212317,0.0,0.0,0.0,0.0
llama32_3b_instruct,llama3b,0.0,Psychopathy,0.158029,0.0,0.0,0.0,0.0
llama32_3b_instruct,llama3b,0.05,Openness,0.426991,0.006057000000000035,0.02988702984072042,-0.017357494445694774,-0.007939859306519772
llama32_3b_instruct,llama3b,0.05,Conscientiousness,0.685377,-0.002607000000000026,0.02988702984072042,-0.017357494445694774,-0.007939859306519772
llama32_3b_instruct,llama3b,0.05,Extraversion,0.398977,0.0012620000000000409,0.02988702984072042,-0.017357494445694774,-0.007939859306519772
llama32_3b_instruct,llama3b,0.05,Agreeableness,0.642204,-0.003933999999999993,0.02988702984072042,-0.017357494445694774,-0.007939859306519772
llama32_3b_instruct,llama3b,0.05,Neuroticism,0.308839,0.0007259999999999489,0.02988702984072042,-0.017357494445694774,-0.007939859306519772
llama32_3b_instruct,llama3b,0.05,Machiavellianism,0.255561,0.01328299999999999,0.02988702984072042,-0.017357494445694774,-0.007939859306519772
llama32_3b_instruct,llama3b,0.05,Narcissism,0.21589,0.003572999999999993,0.02988702984072042,-0.017357494445694774,-0.007939859306519772
llama32_3b_instruct,llama3b,0.05,Psychopathy,0.163072,0.005042999999999992,0.02988702984072042,-0.017357494445694774,-0.007939859306519772
llama32_3b_instruct,llama3b,0.1,Openness,0.43751,0.016576000000000035,0.02142528894089564,-0.029082603937706644,-0.010116066104977896
llama32_3b_instruct,llama3b,0.1,Conscientiousness,0.684601,-0.003383000000000025,0.02142528894089564,-0.029082603937706644,-0.010116066104977896
llama32_3b_instruct,llama3b,0.1,Extraversion,0.403736,0.006020999999999999,0.02142528894089564,-0.029082603937706644,-0.010116066104977896
llama32_3b_instruct,llama3b,0.1,Agreeableness,0.638342,-0.007796000000000025,0.02142528894089564,-0.029082603937706644,-0.010116066104977896
llama32_3b_instruct,llama3b,0.1,Neuroticism,0.305929,-0.0021840000000000193,0.02142528894089564,-0.029082603937706644,-0.010116066104977896
llama32_3b_instruct,llama3b,0.1,Machiavellianism,0.26988,0.027602000000000015,0.02142528894089564,-0.029082603937706644,-0.010116066104977896
llama32_3b_instruct,llama3b,0.1,Narcissism,0.216788,0.004471000000000003,0.02142528894089564,-0.029082603937706644,-0.010116066104977896
llama32_3b_instruct,llama3b,0.1,Psychopathy,0.166314,0.008284999999999987,0.02142528894089564,-0.029082603937706644,-0.010116066104977896
llama32_3b_instruct,llama3b,0.15,Openness,0.446115,0.02518100000000001,0.005767978435224436,-0.051646463695152994,-0.018048362616886544
llama32_3b_instruct,llama3b,0.15,Conscientiousness,0.679628,-0.00835600000000003,0.005767978435224436,-0.051646463695152994,-0.018048362616886544
llama32_3b_instruct,llama3b,0.15,Extraversion,0.411694,0.01397900000000002,0.005767978435224436,-0.051646463695152994,-0.018048362616886544
llama32_3b_instruct,llama3b,0.15,Agreeableness,0.631907,-0.014230999999999994,0.005767978435224436,-0.051646463695152994,-0.018048362616886544
llama32_3b_instruct,llama3b,0.15,Neuroticism,0.310954,0.0028409999999999824,0.005767978435224436,-0.051646463695152994,-0.018048362616886544
llama32_3b_instruct,llama3b,0.15,Machiavellianism,0.286064,0.04378599999999999,0.005767978435224436,-0.051646463695152994,-0.018048362616886544
llama32_3b_instruct,llama3b,0.15,Narcissism,0.224882,0.012564999999999993,0.005767978435224436,-0.051646463695152994,-0.018048362616886544
llama32_3b_instruct,llama3b,0.15,Psychopathy,0.170981,0.012951999999999991,0.005767978435224436,-0.051646463695152994,-0.018048362616886544
llama32_3b_instruct,llama3b,0.2,Openness,0.452868,0.03193400000000002,-0.04184009287160752,-0.07158882614171005,-0.04764293763759932
llama32_3b_instruct,llama3b,0.2,Conscientiousness,0.672014,-0.01597000000000004,-0.04184009287160752,-0.07158882614171005,-0.04764293763759932
llama32_3b_instruct,llama3b,0.2,Extraversion,0.427163,0.02944800000000003,-0.04184009287160752,-0.07158882614171005,-0.04764293763759932
llama32_3b_instruct,llama3b,0.2,Agreeableness,0.621428,-0.02471000000000001,-0.04184009287160752,-0.07158882614171005,-0.04764293763759932
llama32_3b_instruct,llama3b,0.2,Neuroticism,0.315013,0.006899999999999962,-0.04184009287160752,-0.07158882614171005,-0.04764293763759932
llama32_3b_instruct,llama3b,0.2,Machiavellianism,0.298944,0.056665999999999994,-0.04184009287160752,-0.07158882614171005,-0.04764293763759932
llama32_3b_instruct,llama3b,0.2,Narcissism,0.236455,0.024137999999999993,-0.04184009287160752,-0.07158882614171005,-0.04764293763759932
llama32_3b_instruct,llama3b,0.2,Psychopathy,0.191158,0.03312899999999999,-0.04184009287160752,-0.07158882614171005,-0.04764293763759932
llama31_8b_instruct,llama8b,-0.2,Openness,0.387782,-0.028864999999999974,-0.20029284782640377,-0.22724809665193874,0.06280734988767035
llama31_8b_instruct,llama8b,-0.2,Conscientiousness,0.674404,-0.011387999999999954,-0.20029284782640377,-0.22724809665193874,0.06280734988767035
llama31_8b_instruct,llama8b,-0.2,Extraversion,0.40074,-0.002925000000000011,-0.20029284782640377,-0.22724809665193874,0.06280734988767035
llama31_8b_instruct,llama8b,-0.2,Agreeableness,0.633115,-0.01772499999999999,-0.20029284782640377,-0.22724809665193874,0.06280734988767035
llama31_8b_instruct,llama8b,-0.2,Neuroticism,0.319524,0.014616999999999991,-0.20029284782640377,-0.22724809665193874,0.06280734988767035
llama31_8b_instruct,llama8b,-0.2,Machiavellianism,0.22791,-0.015456999999999999,-0.20029284782640377,-0.22724809665193874,0.06280734988767035
llama31_8b_instruct,llama8b,-0.2,Narcissism,0.229576,0.018175999999999998,-0.20029284782640377,-0.22724809665193874,0.06280734988767035
llama31_8b_instruct,llama8b,-0.2,Psychopathy,0.162086,0.0036660000000000026,-0.20029284782640377,-0.22724809665193874,0.06280734988767035
llama31_8b_instruct,llama8b,-0.15,Openness,0.388756,-0.027891,-0.12129326663459372,-0.025823684757831,0.011490402459775704
llama31_8b_instruct,llama8b,-0.15,Conscientiousness,0.688036,0.0022440000000000238,-0.12129326663459372,-0.025823684757831,0.011490402459775704
llama31_8b_instruct,llama8b,-0.15,Extraversion,0.4031,-0.0005649999999999822,-0.12129326663459372,-0.025823684757831,0.011490402459775704
llama31_8b_instruct,llama8b,-0.15,Agreeableness,0.632629,-0.018210999999999977,-0.12129326663459372,-0.025823684757831,0.011490402459775704
llama31_8b_instruct,llama8b,-0.15,Neuroticism,0.299317,-0.005589999999999984,-0.12129326663459372,-0.025823684757831,0.011490402459775704
llama31_8b_instruct,llama8b,-0.15,Machiavellianism,0.229071,-0.014296000000000003,-0.12129326663459372,-0.025823684757831,0.011490402459775704
llama31_8b_instruct,llama8b,-0.15,Narcissism,0.223541,0.012140999999999985,-0.12129326663459372,-0.025823684757831,0.011490402459775704
llama31_8b_instruct,llama8b,-0.15,Psychopathy,0.160483,0.0020629999999999815,-0.12129326663459372,-0.025823684757831,0.011490402459775704
llama31_8b_instruct,llama8b,-0.1,Openness,0.399358,-0.017289,-0.07050492303959427,0.014037557530490014,-0.006437756606605618
llama31_8b_instruct,llama8b,-0.1,Conscientiousness,0.687959,0.00216700000000003,-0.07050492303959427,0.014037557530490014,-0.006437756606605618
llama31_8b_instruct,llama8b,-0.1,Extraversion,0.402769,-0.0008960000000000079,-0.07050492303959427,0.014037557530490014,-0.006437756606605618
llama31_8b_instruct,llama8b,-0.1,Agreeableness,0.63814,-0.012699999999999934,-0.07050492303959427,0.014037557530490014,-0.006437756606605618
llama31_8b_instruct,llama8b,-0.1,Neuroticism,0.298633,-0.006274000000000002,-0.07050492303959427,0.014037557530490014,-0.006437756606605618
llama31_8b_instruct,llama8b,-0.1,Machiavellianism,0.228703,-0.01466400000000001,-0.07050492303959427,0.014037557530490014,-0.006437756606605618
llama31_8b_instruct,llama8b,-0.1,Narcissism,0.217217,0.005816999999999989,-0.07050492303959427,0.014037557530490014,-0.006437756606605618
llama31_8b_instruct,llama8b,-0.1,Psychopathy,0.158998,0.0005779999999999952,-0.07050492303959427,0.014037557530490014,-0.006437756606605618
llama31_8b_instruct,llama8b,-0.05,Openness,0.409311,-0.007336000000000009,-0.030779592616335054,-0.011347998013042556,0.02897472335728287
llama31_8b_instruct,llama8b,-0.05,Conscientiousness,0.68685,0.0010580000000000034,-0.030779592616335054,-0.011347998013042556,0.02897472335728287
llama31_8b_instruct,llama8b,-0.05,Extraversion,0.403642,-2.2999999999995246e-05,-0.030779592616335054,-0.011347998013042556,0.02897472335728287
llama31_8b_instruct,llama8b,-0.05,Agreeableness,0.643296,-0.007543999999999995,-0.030779592616335054,-0.011347998013042556,0.02897472335728287
llama31_8b_instruct,llama8b,-0.05,Neuroticism,0.300194,-0.004712999999999967,-0.030779592616335054,-0.011347998013042556,0.02897472335728287
llama31_8b_instruct,llama8b,-0.05,Machiavellianism,0.232002,-0.011364999999999986,-0.030779592616335054,-0.011347998013042556,0.02897472335728287
llama31_8b_instruct,llama8b,-0.05,Narcissism,0.214224,0.002823999999999993,-0.030779592616335054,-0.011347998013042556,0.02897472335728287
llama31_8b_instruct,llama8b,-0.05,Psychopathy,0.158759,0.00033900000000000596,-0.030779592616335054,-0.011347998013042556,0.02897472335728287
llama31_8b_instruct,llama8b,0.0,Openness,0.416647,0.0,0.0,0.0,0.0
llama31_8b_instruct,llama8b,0.0,Conscientiousness,0.685792,0.0,0.0,0.0,0.0
llama31_8b_instruct,llama8b,0.0,Extraversion,0.403665,0.0,0.0,0.0,0.0
llama31_8b_instruct,llama8b,0.0,Agreeableness,0.65084,0.0,0.0,0.0,0.0
llama31_8b_instruct,llama8b,0.0,Neuroticism,0.304907,0.0,0.0,0.0,0.0
llama31_8b_instruct,llama8b,0.0,Machiavellianism,0.243367,0.0,0.0,0.0,0.0
llama31_8b_instruct,llama8b,0.0,Narcissism,0.2114,0.0,0.0,0.0,0.0
llama31_8b_instruct,llama8b,0.0,Psychopathy,0.15842,0.0,0.0,0.0,0.0
llama31_8b_instruct,llama8b,0.05,Openness,0.423713,0.007066000000000017,-0.0013743520198680223,0.034034336648774234,-0.017152499500401645
llama31_8b_instruct,llama8b,0.05,Conscientiousness,0.686287,0.0004950000000000232,-0.0013743520198680223,0.034034336648774234,-0.017152499500401645
llama31_8b_instruct,llama8b,0.05,Extraversion,0.402299,-0.0013659999999999783,-0.0013743520198680223,0.034034336648774234,-0.017152499500401645
llama31_8b_instruct,llama8b,0.05,Agreeableness,0.657136,0.006296000000000079,-0.0013743520198680223,0.034034336648774234,-0.017152499500401645
llama31_8b_instruct,llama8b,0.05,Neuroticism,0.312509,0.007601999999999998,-0.0013743520198680223,0.034034336648774234,-0.017152499500401645
llama31_8b_instruct,llama8b,0.05,Machiavellianism,0.255325,0.011958000000000024,-0.0013743520198680223,0.034034336648774234,-0.017152499500401645
llama31_8b_instruct,llama8b,0.05,Narcissism,0.209604,-0.001795999999999992,-0.0013743520198680223,0.034034336648774234,-0.017152499500401645
llama31_8b_instruct,llama8b,0.05,Psychopathy,0.157132,-0.0012880000000000114,-0.0013743520198680223,0.034034336648774234,-0.017152499500401645
llama31_8b_instruct,llama8b,0.1,Openness,0.432072,0.015425000000000022,-0.02152965549870981,0.0001696228245753684,-0.004403362767296495
llama31_8b_instruct,llama8b,0.1,Conscientiousness,0.689883,0.004091000000000067,-0.02152965549870981,0.0001696228245753684,-0.004403362767296495
llama31_8b_instruct,llama8b,0.1,Extraversion,0.396445,-0.007220000000000004,-0.02152965549870981,0.0001696228245753684,-0.004403362767296495
llama31_8b_instruct,llama8b,0.1,Agreeableness,0.659605,0.008765000000000023,-0.02152965549870981,0.0001696228245753684,-0.004403362767296495
llama31_8b_instruct,llama8b,0.1,Neuroticism,0.318035,0.013128000000000029,-0.02152965549870981,0.0001696228245753684,-0.004403362767296495
llama31_8b_instruct,llama8b,0.1,Machiavellianism,0.265731,0.022363999999999995,-0.02152965549870981,0.0001696228245753684,-0.004403362767296495
llama31_8b_instruct,llama8b,0.1,Narcissism,0.207379,-0.004020999999999997,-0.02152965549870981,0.0001696228245753684,-0.004403362767296495
llama31_8b_instruct,llama8b,0.1,Psychopathy,0.160506,0.0020860000000000045,-0.02152965549870981,0.0001696228245753684,-0.004403362767296495
llama31_8b_instruct,llama8b,0.15,Openness,0.432635,0.015988000000000002,-0.04677532981964874,-0.050915846806994736,-0.013815244359947009
llama31_8b_instruct,llama8b,0.15,Conscientiousness,0.690894,0.005102000000000051,-0.04677532981964874,-0.050915846806994736,-0.013815244359947009
