model,alpha,trait,trait_score
llama32_1b_instruct,0.05,Narcissism,0.202354
llama32_1b_instruct,0.05,Psychopathy,0.136598
llama32_1b_instruct,0.1,Openness,0.412381
llama32_1b_instruct,0.1,Conscientiousness,0.713851
llama32_1b_instruct,0.1,Extraversion,0.393878
llama32_1b_instruct,0.1,Agreeableness,0.653961
llama32_1b_instruct,0.1,Neuroticism,0.344678
llama32_1b_instruct,0.1,Machiavellianism,0.244770
llama32_1b_instruct,0.1,Narcissism,0.201289
llama32_1b_instruct,0.1,Psychopathy,0.132314
llama32_1b_instruct,0.15,Openness,0.423058
llama32_1b_instruct,0.15,Conscientiousness,0.711310
llama32_1b_instruct,0.15,Extraversion,0.396939
llama32_1b_instruct,0.15,Agreeableness,0.645336
llama32_1b_instruct,0.15,Neuroticism,0.352162
llama32_1b_instruct,0.15,Machiavellianism,0.248980
llama32_1b_instruct,0.15,Narcissism,0.204161
llama32_1b_instruct,0.15,Psychopathy,0.130893
llama32_1b_instruct,0.2,Openness,0.432481
llama32_1b_instruct,0.2,Conscientiousness,0.707986
llama32_1b_instruct,0.2,Extraversion,0.408577
llama32_1b_instruct,0.2,Agreeableness,0.640469
llama32_1b_instruct,0.2,Neuroticism,0.359146
llama32_1b_instruct,0.2,Machiavellianism,0.258924
llama32_1b_instruct,0.2,Narcissism,0.209580
llama32_1b_instruct,0.2,Psychopathy,0.133741
llama32_3b_instruct,-0.2,Openness,0.396705
llama32_3b_instruct,-0.2,Conscientiousness,0.670926
llama32_3b_instruct,-0.2,Extraversion,0.381162
llama32_3b_instruct,-0.2,Agreeableness,0.635988
llama32_3b_instruct,-0.2,Neuroticism,0.320719
llama32_3b_instruct,-0.2,Machiavellianism,0.239015
llama32_3b_instruct,-0.2,Narcissism,0.217703
llama32_3b_instruct,-0.2,Psychopathy,0.161191
llama32_3b_instruct,-0.15,Openness,0.404284
llama32_3b_instruct,-0.15,Conscientiousness,0.680686
llama32_3b_instruct,-0.15,Extraversion,0.385080
llama32_3b_instruct,-0.15,Agreeableness,0.639213
llama32_3b_instruct,-0.15,Neuroticism,0.322268
llama32_3b_instruct,-0.15,Machiavellianism,0.230886
llama32_3b_instruct,-0.15,Narcissism,0.214959
llama32_3b_instruct,-0.15,Psychopathy,0.162620
llama32_3b_instruct,-0.1,Openness,0.409173
llama32_3b_instruct,-0.1,Conscientiousness,0.685086
llama32_3b_instruct,-0.1,Extraversion,0.391495
llama32_3b_instruct,-0.1,Agreeableness,0.642923
llama32_3b_instruct,-0.1,Neuroticism,0.313689
llama32_3b_instruct,-0.1,Machiavellianism,0.233707
llama32_3b_instruct,-0.1,Narcissism,0.212889
llama32_3b_instruct,-0.1,Psychopathy,0.164277
llama32_3b_instruct,-0.05,Openness,0.416270
llama32_3b_instruct,-0.05,Conscientiousness,0.685854
llama32_3b_instruct,-0.05,Extraversion,0.395792
llama32_3b_instruct,-0.05,Agreeableness,0.644861
llama32_3b_instruct,-0.05,Neuroticism,0.309057
llama32_3b_instruct,-0.05,Machiavellianism,0.235608
llama32_3b_instruct,-0.05,Narcissism,0.211462
llama32_3b_instruct,-0.05,Psychopathy,0.162374
llama32_3b_instruct,0,Openness,0.420934
llama32_3b_instruct,0,Conscientiousness,0.687984
llama32_3b_instruct,0,Extraversion,0.397715
llama32_3b_instruct,0,Agreeableness,0.646138
llama32_3b_instruct,0,Neuroticism,0.308113
llama32_3b_instruct,0,Machiavellianism,0.242278
llama32_3b_instruct,0,Narcissism,0.212317
llama32_3b_instruct,0,Psychopathy,0.158029
llama32_3b_instruct,0.05,Openness,0.426991
llama32_3b_instruct,0.05,Conscientiousness,0.685377
llama32_3b_instruct,0.05,Extraversion,0.398977
llama32_3b_instruct,0.05,Agreeableness,0.642204
llama32_3b_instruct,0.05,Neuroticism,0.308839
llama32_3b_instruct,0.05,Machiavellianism,0.255561
llama32_3b_instruct,0.05,Narcissism,0.215890
llama32_3b_instruct,0.05,Psychopathy,0.163072
llama32_3b_instruct,0.1,Openness,0.437510
llama32_3b_instruct,0.1,Conscientiousness,0.684601
llama32_3b_instruct,0.1,Extraversion,0.403736
llama32_3b_instruct,0.1,Agreeableness,0.638342
llama32_3b_instruct,0.1,Neuroticism,0.305929
llama32_3b_instruct,0.1,Machiavellianism,0.269880
llama32_3b_instruct,0.1,Narcissism,0.216788
llama32_3b_instruct,0.1,Psychopathy,0.166314
llama32_3b_instruct,0.15,Openness,0.446115
llama32_3b_instruct,0.15,Conscientiousness,0.679628
llama32_3b_instruct,0.15,Extraversion,0.411694
llama32_3b_instruct,0.15,Agreeableness,0.631907
llama32_3b_instruct,0.15,Neuroticism,0.310954
llama32_3b_instruct,0.15,Machiavellianism,0.286064
llama32_3b_instruct,0.15,Narcissism,0.224882
llama32_3b_instruct,0.15,Psychopathy,0.170981
llama32_3b_instruct,0.2,Openness,0.452868
llama32_3b_instruct,0.2,Conscientiousness,0.672014
llama32_3b_instruct,0.2,Extraversion,0.427163
llama32_3b_instruct,0.2,Agreeableness,0.621428
llama32_3b_instruct,0.2,Neuroticism,0.315013
llama32_3b_instruct,0.2,Machiavellianism,0.298944
llama32_3b_instruct,0.2,Narcissism,0.236455
llama32_3b_instruct,0.2,Psychopathy,0.191158
llama31_8b_instruct,-0.2,Openness,0.387782
llama31_8b_instruct,-0.2,Conscientiousness,0.674404
llama31_8b_instruct,-0.2,Extraversion,0.400740
llama31_8b_instruct,-0.2,Agreeableness,0.633115
llama31_8b_instruct,-0.2,Neuroticism,0.319524
llama31_8b_instruct,-0.2,Machiavellianism,0.227910
llama31_8b_instruct,-0.2,Narcissism,0.229576
llama31_8b_instruct,-0.2,Psychopathy,0.162086
llama31_8b_instruct,-0.15,Openness,0.388756
llama31_8b_instruct,-0.15,Conscientiousness,0.688036
llama31_8b_instruct,-0.15,Extraversion,0.403100
llama31_8b_instruct,-0.15,Agreeableness,0.632629
llama31_8b_instruct,-0.15,Neuroticism,0.299317
llama31_8b_instruct,-0.15,Machiavellianism,0.229071
llama31_8b_instruct,-0.15,Narcissism,0.223541
llama31_8b_instruct,-0.15,Psychopathy,0.160483
llama31_8b_instruct,-0.1,Openness,0.399358
llama31_8b_instruct,-0.1,Conscientiousness,0.687959
llama31_8b_instruct,-0.1,Extraversion,0.402769
llama31_8b_instruct,-0.1,Agreeableness,0.638140
llama31_8b_instruct,-0.1,Neuroticism,0.298633
llama31_8b_instruct,-0.1,Machiavellianism,0.228703
llama31_8b_instruct,-0.1,Narcissism,0.217217
llama31_8b_instruct,-0.1,Psychopathy,0.158998
llama31_8b_instruct,-0.05,Openness,0.409311
llama31_8b_instruct,-0.05,Conscientiousness,0.686850
llama31_8b_instruct,-0.05,Extraversion,0.403642
llama31_8b_instruct,-0.05,Agreeableness,0.643296
llama31_8b_instruct,-0.05,Neuroticism,0.300194
llama31_8b_instruct,-0.05,Machiavellianism,0.232002
llama31_8b_instruct,-0.05,Narcissism,0.214224
llama31_8b_instruct,-0.05,Psychopathy,0.158759
llama31_8b_instruct,0,Openness,0.416647
llama31_8b_instruct,0,Conscientiousness,0.685792
llama31_8b_instruct,0,Extraversion,0.403665
llama31_8b_instruct,0,Agreeableness,0.650840
llama31_8b_instruct,0,Neuroticism,0.304907
llama31_8b_instruct,0,Machiavellianism,0.243367
llama31_8b_instruct,0,Narcissism,0.211400
llama31_8b_instruct,0,Psychopathy,0.158420
llama31_8b_instruct,0.05,Openness,0.423713
llama31_8b_instruct,0.05,Conscientiousness,0.686287
llama31_8b_instruct,0.05,Extraversion,0.402299
llama31_8b_instruct,0.05,Agreeableness,0.657136
llama31_8b_instruct,0.05,Neuroticism,0.312509
llama31_8b_instruct,0.05,Machiavellianism,0.255325
llama31_8b_instruct,0.05,Narcissism,0.209604
llama31_8b_instruct,0.05,Psychopathy,0.157132
llama31_8b_instruct,0.1,Openness,0.432072
llama31_8b_instruct,0.1,Conscientiousness,0.689883
llama31_8b_instruct,0.1,Extraversion,0.396445
llama31_8b_instruct,0.1,Agreeableness,0.659605
llama31_8b_instruct,0.1,Neuroticism,0.318035
llama31_8b_instruct,0.1,Machiavellianism,0.265731
llama31_8b_instruct,0.1,Narcissism,0.207379
llama31_8b_instruct,0.1,Psychopathy,0.160506
llama31_8b_instruct,0.15,Openness,0.432635
llama31_8b_instruct,0.15,Conscientiousness,0.690894
llama31_8b_instruct,0.15,Extraversion,0.397105
llama31_8b_instruct,0.15,Agreeableness,0.660003
llama31_8b_instruct,0.15,Neuroticism,0.330492
llama31_8b_instruct,0.15,Machiavellianism,0.280993
llama31_8b_instruct,0.15,Narcissism,0.210726
llama31_8b_instruct,0.15,Psychopathy,0.165870
llama31_8b_instruct,0.2,Openness,0.431168
llama31_8b_instruct,0.2,Conscientiousness,0.686787
llama31_8b_instruct,0.2,Extraversion,0.391877
llama31_8b_instruct,0.2,Agreeableness,0.657238
llama31_8b_instruct,0.2,Neuroticism,0.347709
llama31_8b_instruct,0.2,Machiavellianism,0.285938
llama31_8b_instruct,0.2,Narcissism,0.216963
llama31_8b_instruct,0.2,Psychopathy,0.174066
qwen3_8b,-0.2,Openness,0.452062
qwen3_8b,-0.2,Conscientiousness,0.675419
qwen3_8b,-0.2,Extraversion,0.423068
qwen3_8b,-0.2,Agreeableness,0.644297
qwen3_8b,-0.2,Neuroticism,0.374078
qwen3_8b,-0.2,Machiavellianism,0.294598
qwen3_8b,-0.2,Narcissism,0.275887
qwen3_8b,-0.2,Psychopathy,0.204285
qwen3_8b,-0.15,Openness,0.457925
qwen3_8b,-0.15,Conscientiousness,0.683011
qwen3_8b,-0.15,Extraversion,0.412777
qwen3_8b,-0.15,Agreeableness,0.655963
qwen3_8b,-0.15,Neuroticism,0.375571
qwen3_8b,-0.15,Machiavellianism,0.278807
qwen3_8b,-0.15,Narcissism,0.258064
qwen3_8b,-0.15,Psychopathy,0.205600
qwen3_8b,-0.1,Openness,0.458646
qwen3_8b,-0.1,Conscientiousness,0.689493
qwen3_8b,-0.1,Extraversion,0.402016
qwen3_8b,-0.1,Agreeableness,0.660169
qwen3_8b,-0.1,Neuroticism,0.378730
qwen3_8b,-0.1,Machiavellianism,0.267962
qwen3_8b,-0.1,Narcissism,0.246298
qwen3_8b,-0.1,Psychopathy,0.200025
qwen3_8b,-0.05,Openness,0.459311
qwen3_8b,-0.05,Conscientiousness,0.701864
qwen3_8b,-0.05,Extraversion,0.398391
qwen3_8b,-0.05,Agreeableness,0.659953
qwen3_8b,-0.05,Neuroticism,0.380139
qwen3_8b,-0.05,Machiavellianism,0.262790
qwen3_8b,-0.05,Narcissism,0.240976
qwen3_8b,-0.05,Psychopathy,0.188440
qwen3_8b,0,Openness,0.458972
qwen3_8b,0,Conscientiousness,0.706169
qwen3_8b,0,Extraversion,0.397485
qwen3_8b,0,Agreeableness,0.662968
qwen3_8b,0,Neuroticism,0.377707
qwen3_8b,0,Machiavellianism,0.252974
qwen3_8b,0,Narcissism,0.235271
qwen3_8b,0,Psychopathy,0.181587
qwen3_8b,0.05,Openness,0.463209
qwen3_8b,0.05,Conscientiousness,0.715631
qwen3_8b,0.05,Extraversion,0.395714
qwen3_8b,0.05,Agreeableness,0.665486
qwen3_8b,0.05,Neuroticism,0.377291
qwen3_8b,0.05,Machiavellianism,0.252776
qwen3_8b,0.05,Narcissism,0.235636
qwen3_8b,0.05,Psychopathy,0.180912
qwen3_8b,0.1,Openness,0.462064
qwen3_8b,0.1,Conscientiousness,0.707334
qwen3_8b,0.1,Extraversion,0.404787
qwen3_8b,0.1,Agreeableness,0.663586
qwen3_8b,0.1,Neuroticism,0.365028
qwen3_8b,0.1,Machiavellianism,0.253257
qwen3_8b,0.1,Narcissism,0.225975
qwen3_8b,0.1,Psychopathy,0.188315
qwen3_8b,0.15,Openness,0.461293
qwen3_8b,0.15,Conscientiousness,0.715964
qwen3_8b,0.15,Extraversion,0.402470
qwen3_8b,0.15,Agreeableness,0.653474
qwen3_8b,0.15,Neuroticism,0.355512
qwen3_8b,0.15,Machiavellianism,0.256212
qwen3_8b,0.15,Narcissism,0.219111
qwen3_8b,0.15,Psychopathy,0.181657
qwen3_8b,0.2,Openness,0.455463
qwen3_8b,0.2,Conscientiousness,0.719505
qwen3_8b,0.2,Extraversion,0.401507
qwen3_8b,0.2,Agreeableness,0.647904
qwen3_8b,0.2,Neuroticism,0.358770
qwen3_8b,0.2,Machiavellianism,0.260728
qwen3_8b,0.2,Narcissism,0.212096
qwen3_8b,0.2,Psychopathy,0.176496
qwen3_30b_a3b,-0.2,Openness,0.455853
qwen3_30b_a3b,-0.2,Conscientiousness,0.707269
qwen3_30b_a3b,-0.2,Extraversion,0.381889
qwen3_30b_a3b,-0.2,Agreeableness,0.674980
qwen3_30b_a3b,-0.2,Neuroticism,0.338655
qwen3_30b_a3b,-0.2,Machiavellianism,0.259490
qwen3_30b_a3b,-0.2,Narcissism,0.225939
qwen3_30b_a3b,-0.2,Psychopathy,0.152571
qwen3_30b_a3b,-0.15,Openness,0.456651
qwen3_30b_a3b,-0.15,Conscientiousness,0.708297
qwen3_30b_a3b,-0.15,Extraversion,0.384942
qwen3_30b_a3b,-0.15,Agreeableness,0.671894
qwen3_30b_a3b,-0.15,Neuroticism,0.333921
qwen3_30b_a3b,-0.15,Machiavellianism,0.258153
qwen3_30b_a3b,-0.15,Narcissism,0.222272
qwen3_30b_a3b,-0.15,Psychopathy,0.155071
qwen3_30b_a3b,-0.1,Openness,0.451512
qwen3_30b_a3b,-0.1,Conscientiousness,0.709641
qwen3_30b_a3b,-0.1,Extraversion,0.384038
qwen3_30b_a3b,-0.1,Agreeableness,0.666722
qwen3_30b_a3b,-0.1,Neuroticism,0.331497
qwen3_30b_a3b,-0.1,Machiavellianism,0.255868
qwen3_30b_a3b,-0.1,Narcissism,0.220064
qwen3_30b_a3b,-0.1,Psychopathy,0.159309
qwen3_30b_a3b,-0.05,Openness,0.449228
qwen3_30b_a3b,-0.05,Conscientiousness,0.711043
qwen3_30b_a3b,-0.05,Extraversion,0.385163
qwen3_30b_a3b,-0.05,Agreeableness,0.665425
qwen3_30b_a3b,-0.05,Neuroticism,0.322745
qwen3_30b_a3b,-0.05,Machiavellianism,0.251344
qwen3_30b_a3b,-0.05,Narcissism,0.215247
qwen3_30b_a3b,-0.05,Psychopathy,0.162339
qwen3_30b_a3b,0,Openness,0.454292
qwen3_30b_a3b,0,Conscientiousness,0.716418
qwen3_30b_a3b,0,Extraversion,0.387304
qwen3_30b_a3b,0,Agreeableness,0.662248
qwen3_30b_a3b,0,Neuroticism,0.325851
qwen3_30b_a3b,0,Machiavellianism,0.251476
qwen3_30b_a3b,0,Narcissism,0.213610
qwen3_30b_a3b,0,Psychopathy,0.166749
qwen3_30b_a3b,0.05,Openness,0.449697
qwen3_30b_a3b,0.05,Conscientiousness,0.713024
qwen3_30b_a3b,0.05,Extraversion,0.389193
qwen3_30b_a3b,0.05,Agreeableness,0.661215
qwen3_30b_a3b,0.05,Neuroticism,0.322319
qwen3_30b_a3b,0.05,Machiavellianism,0.253917
qwen3_30b_a3b,0.05,Narcissism,0.213602
qwen3_30b_a3b,0.05,Psychopathy,0.171862
qwen3_30b_a3b,0.1,Openness,0.446704
qwen3_30b_a3b,0.1,Conscientiousness,0.713420
qwen3_30b_a3b,0.1,Extraversion,0.392534
qwen3_30b_a3b,0.1,Agreeableness,0.655386
qwen3_30b_a3b,0.1,Neuroticism,0.318063
qwen3_30b_a3b,0.1,Machiavellianism,0.247942
qwen3_30b_a3b,0.1,Narcissism,0.214101
qwen3_30b_a3b,0.1,Psychopathy,0.173630
qwen3_30b_a3b,0.15,Openness,0.445432
qwen3_30b_a3b,0.15,Conscientiousness,0.714365
qwen3_30b_a3b,0.15,Extraversion,0.394268
qwen3_30b_a3b,0.15,Agreeableness,0.651421
qwen3_30b_a3b,0.15,Neuroticism,0.308795
qwen3_30b_a3b,0.15,Machiavellianism,0.246219
qwen3_30b_a3b,0.15,Narcissism,0.212580
qwen3_30b_a3b,0.15,Psychopathy,0.175925
qwen3_30b_a3b,0.2,Openness,0.449182
qwen3_30b_a3b,0.2,Conscientiousness,0.714525
qwen3_30b_a3b,0.2,Extraversion,0.401920
qwen3_30b_a3b,0.2,Agreeableness,0.655740
qwen3_30b_a3b,0.2,Neuroticism,0.306121
qwen3_30b_a3b,0.2,Machiavellianism,0.242826
qwen3_30b_a3b,0.2,Narcissism,0.211551
qwen3_30b_a3b,0.2,Psychopathy,0.177547
